price range|price|address|locality|postalCode|beds|bathes|cars|link
650000-700000|Contact Agent|18/4-6 Peggy Street|Mays Hill|2145|3|2|1|http://www.realestate.com.au/property-apartment-nsw-mays+hill-124020690
500000-550000|$535,000|40/5 Good Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-123825834
450000-500000|Contact Agent|79 Northumberland Rd|Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-122416478
600000-650000|$650,000|2/24 - 26 Lords Avenue|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-120452149
650000-700000|Range $700,000 to $770,000|8/1A Ackling Street|Baulkham Hills|2153|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-baulkham+hills-124109642
600000-650000|Contact Agent|43 Lavender Avenue Kellyville (off York Road)|Kellyville|2155|2|2|2|http://www.realestate.com.au/property-apartment-nsw-kellyville-118211783
500000-550000|$550,000 - $590,000|9/85-87 Mountford Avenue|Guildford|2161|3|1|2|http://www.realestate.com.au/property-house-nsw-guildford-124194266
450000-500000|$595,000 - $625,000|32A Kimberley Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-house-nsw-merrylands-124158986
650000-700000|$690,000-$730,000|43/320A-338 Liverpool Road|Enfield|2136|3|2|2|http://www.realestate.com.au/property-apartment-nsw-enfield-124002090
550000-600000|$585,000 to $599,000|38/28-32 MARLBOROUGH ROAD|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-unit-nsw-homebush+west-123849026
550000-600000|$600,000-$660,000|29/65-69 Adderton Road|Telopea|2117|2|2|1|http://www.realestate.com.au/property-unit-nsw-telopea-123710574
450000-500000|$549,000|Block B/35-43 Toongabbie  Road|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-unit-nsw-toongabbie-122758878
600000-650000|$649,000|6/26-28 Burdett Street|Hornsby|2077|2|1|1|http://www.realestate.com.au/property-apartment-nsw-hornsby-124043522
650000-700000|$679,000|13/209 - 211 Carlingford Rd|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-123894250
400000-450000|$474,900|9/356-360 Railway Terrace|Guildford|2161|2|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-122862670
450000-500000|$569,000|2-4 Octavia Street|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-122708778
600000-650000|$645,000|15/41-43 Veron Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-house-nsw-wentworthville-124066706
550000-600000|$695,000 to $730,000|5 Anselm Street|Strathfield South|2136|2|2|1|http://www.realestate.com.au/property-apartment-nsw-strathfield+south-123976890
650000-700000|$680,000-$730,000|14 Viola Place|Greystanes|2145|3|1|2|http://www.realestate.com.au/property-house-nsw-greystanes-123354802
650000-700000|$699,000||Harris Park|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-harris+park-124268706
550000-600000|$585,000|8/86-88 Railway Terrace|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123909454
450000-500000|Price Guide $535,000 - $575,000|3/11-13 Torrens Street|Merrylands|2160|3|1|1|http://www.realestate.com.au/property-townhouse-nsw-merrylands-124177514
550000-600000|Buyer's guide $630,000 to $660,000|8/253 CONCORD RD|Concord West|2138|2|1|1|http://www.realestate.com.au/property-apartment-nsw-concord+west-124267086
600000-650000|1st stage sold out, register for 2nd stage|14 Childs Street|Lidcombe|2141|3|2|2|http://www.realestate.com.au/property-unit-nsw-lidcombe-123297714
550000-600000|$600,000 - $625,000|Units 5-8/60 Veron Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-house-nsw-wentworthville-123461294
450000-500000|$480,000-$520,000|7/43 O'Connell Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124143086
650000-700000|$668,000 - $688,000|3/41 Isabella St|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-north+parramatta-124198634
450000-500000|$473,000|194/2 Macquarie Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123689726
650000-700000|Price guide $660,000 - $698,000|8/30 Brickfield Street|North Parramatta|2151|3|2|1|http://www.realestate.com.au/property-apartment-nsw-north+parramatta-123860638
